Format,1.0B,
Memory Length,5000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,0.000E+00,
Source,FFT rms,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,0.00E+00,
Horizontal Units,Hz,
Horizontal Scale,25MHz,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-09,
Horizontal Old Scale,25MHz,
Horizontal Old Position,1000,
Firmware,V1.31,
Mode,Detail,
Waveform Data,
3.260000e+07,0.00e+00,
3.265000e+07,0.00e+00,
3.270000e+07,0.00e+00,
3.275000e+07,0.00e+00,
3.280000e+07,0.00e+00,
3.285000e+07,0.00e+00,
3.290000e+07,0.00e+00,
3.295000e+07,0.00e+00,
3.300000e+07,0.00e+00,
3.305000e+07,0.00e+00,
3.310000e+07,0.00e+00,
3.315000e+07,0.00e+00,
3.320000e+07,0.00e+00,
3.325000e+07,0.00e+00,
3.330000e+07,0.00e+00,
3.335000e+07,0.00e+00,
3.340000e+07,0.00e+00,
3.345000e+07,0.00e+00,
3.350000e+07,0.00e+00,
3.355000e+07,0.00e+00,
3.360000e+07,0.00e+00,
3.365000e+07,0.00e+00,
3.370000e+07,0.00e+00,
3.375000e+07,0.00e+00,
3.380000e+07,0.00e+00,
3.385000e+07,0.00e+00,
3.390000e+07,0.00e+00,
3.395000e+07,0.00e+00,
3.400000e+07,0.00e+00,
3.405000e+07,0.00e+00,
3.410000e+07,0.00e+00,
3.415000e+07,0.00e+00,
3.420000e+07,0.00e+00,
3.425000e+07,0.00e+00,
3.430000e+07,0.00e+00,
3.435000e+07,0.00e+00,
3.440000e+07,0.00e+00,
3.445000e+07,0.00e+00,
3.450000e+07,0.00e+00,
3.455000e+07,0.00e+00,
3.460000e+07,0.00e+00,
3.465000e+07,0.00e+00,
3.470000e+07,0.00e+00,
3.475000e+07,0.00e+00,
3.480000e+07,0.00e+00,
3.485000e+07,0.00e+00,
3.490000e+07,0.00e+00,
3.495000e+07,0.00e+00,
3.500000e+07,0.00e+00,
3.505000e+07,0.00e+00,
3.510000e+07,0.00e+00,
3.515000e+07,0.00e+00,
3.520000e+07,0.00e+00,
3.525000e+07,0.00e+00,
3.530000e+07,0.00e+00,
3.535000e+07,0.00e+00,
3.540000e+07,0.00e+00,
3.545000e+07,0.00e+00,
3.550000e+07,0.00e+00,
3.555000e+07,0.00e+00,
3.560000e+07,0.00e+00,
3.565000e+07,0.00e+00,
3.570000e+07,0.00e+00,
3.575000e+07,0.00e+00,
3.580000e+07,0.00e+00,
3.585000e+07,0.00e+00,
3.590000e+07,0.00e+00,
3.595000e+07,0.00e+00,
3.600000e+07,0.00e+00,
3.605000e+07,0.00e+00,
3.610000e+07,0.00e+00,
3.615000e+07,0.00e+00,
3.620000e+07,0.00e+00,
3.625000e+07,0.00e+00,
3.630000e+07,0.00e+00,
3.635000e+07,0.00e+00,
3.640000e+07,0.00e+00,
3.645000e+07,0.00e+00,
3.650000e+07,0.00e+00,
3.655000e+07,0.00e+00,
3.660000e+07,0.00e+00,
3.665000e+07,0.00e+00,
3.670000e+07,0.00e+00,
3.675000e+07,0.00e+00,
3.680000e+07,0.00e+00,
3.685000e+07,0.00e+00,
3.690000e+07,0.00e+00,
3.695000e+07,0.00e+00,
3.700000e+07,0.00e+00,
3.705000e+07,0.00e+00,
3.710000e+07,0.00e+00,
3.715000e+07,0.00e+00,
3.720000e+07,0.00e+00,
3.725000e+07,0.00e+00,
3.730000e+07,0.00e+00,
3.735000e+07,0.00e+00,
3.740000e+07,0.00e+00,
3.745000e+07,0.00e+00,
3.750000e+07,0.00e+00,
3.755000e+07,0.00e+00,
3.760000e+07,0.00e+00,
3.765000e+07,0.00e+00,
3.770000e+07,0.00e+00,
3.775000e+07,0.00e+00,
3.780000e+07,0.00e+00,
3.785000e+07,0.00e+00,
3.790000e+07,0.00e+00,
3.795000e+07,0.00e+00,
3.800000e+07,0.00e+00,
3.805000e+07,0.00e+00,
3.810000e+07,0.00e+00,
3.815000e+07,0.00e+00,
3.820000e+07,0.00e+00,
